1:0:1:3ABD:514:13E:820000:0:0:0:,TVP 1 HD,tvp_1
1:0:1:C22:1E78:71:820000:0:0:0:,TVP 2 HD,tvp_2
1:0:1:12C7:2E7C:13E:820000:0:0:0:,TVP 1,tvp_1
1:0:1:12C8:2E7C:13E:820000:0:0:0:,TVP 2,tvp_2
1:0:1:10D8:3E8:13E:820000:0:0:0:,TVN 24,tvn_24
1:0:1:3DCD:640:13E:820000:0:0:0:,TVN HD,tvn
1:0:1:10D7:3E8:13E:820000:0:0:0:,TVN,tvn
1:0:1:32E3:190:13E:820000:0:0:0:,TVN 7 HD,tvn_7
1:0:1:10D9:3E8:13E:820000:0:0:0:,TVN 7,tvn_7
1:0:1:3DD0:640:13E:820000:0:0:0:,TVN TURBO HD,tvn_turbo
1:0:1:10DF:3E8:13E:820000:0:0:0:,TVN Turbo,tvn_turbo
1:0:1:3DCE:640:13E:820000:0:0:0:,TVN STYLE HD,tvn_style
1:0:1:10E0:3E8:13E:820000:0:0:0:,TVN Style,tvn_style
1:0:1:6:3200:13E:820000:0:0:0:,Viacom Blink!,
1:0:1:13F6:5DC:13E:820000:0:0:0:,TVP Info,tvp_info
1:0:1:3335:3390:71:820000:0:0:0:,PolSat News,polsat_news
1:0:1:C23:1E78:71:820000:0:0:0:,POLSAT HD,polsat
1:0:1:332D:3390:71:820000:0:0:0:,PolSat,polsat
1:0:1:3336:3390:71:820000:0:0:0:,Polsat 2,polsat_2
1:0:1:332F:3390:71:820000:0:0:0:,TV 4,tv_4
1:0:1:3D59:2C88:13E:820000:0:0:0:,Tele 5,tele_5
1:0:1:13F8:5DC:13E:820000:0:0:0:,TV Puls,tv_plus
1:0:1:2919:1EDC:71:820000:0:0:0:,Superstacja,superstacja
1:0:1:3B62:12C:13E:820000:0:0:0:,TVP HD,tvp_hd
1:0:1:32DC:190:13E:820000:0:0:0:,CANAL+ HD PL,canal
1:0:1:12C1:2E7C:13E:820000:0:0:0:,CANAL+,canal
1:0:1:3779:44C:13E:820000:0:0:0:,CANAL+ FILM HD,canal_film
1:0:1:12C2:2E7C:13E:820000:0:0:0:,CANAL+ FILM,canal_film
1:0:1:32DE:190:13E:820000:0:0:0:,CANAL+ SPORT HD,canal_sport
1:0:1:12C9:2E7C:13E:820000:0:0:0:,CANAL+ SPORT,canal_sport
1:0:1:377A:44C:13E:820000:0:0:0:,CANAL+ GOL HD,canal_sport_gol
1:0:1:113D:2AF8:13E:820000:0:0:0:,CANAL+ GOL,canal_sport_gol
1:0:1:377B:44C:13E:820000:0:0:0:,CANAL+ WEEKEND HD,
1:0:1:113E:2AF8:13E:820000:0:0:0:,CANAL+ WEEKEND,
1:0:1:C21:1E78:71:820000:0:0:0:,HBO HD PL,hbo
1:0:1:114D:2AF8:13E:820000:0:0:0:,HBO,hbo
1:0:1:E09:2D50:13E:820000:0:0:0:,HBO 2 HD,hbo_2
1:0:1:114F:2AF8:13E:820000:0:0:0:,HBO 2,hbo_2
1:0:1:E0A:2D50:13E:820000:0:0:0:,HBO COMEDY HD,hbo_comedy
1:0:1:1150:2AF8:13E:820000:0:0:0:,HBO Comedy,hbo_comedy
